numerai_ticker,iex_ticker
060150 KS,060150-KQ
058470 KS,058470-KQ
035420 KS,035420-KP
046890 KS,046890-KQ
033500 KS,033500-KQ
033640 KS,033640-KQ
030190 KS,030190-KQ
056190 KS,056190-KQ
066970 KS,066970-KQ
032640 KS,032640-KP
049070 KS,049070-KQ
060250 KS,060250-KQ
023160 KS,023160-KQ
034230 KS,034230-KQ
068270 KS,068270-KP
080160 KS,080160-KQ
084370 KS,084370-KQ
032830 KS,032830-KP
090460 KS,090460-KQ
092730 KS,092730-KQ
240810 KS,240810-KQ
095660 KS,095660-KQ
029780 KS,029780-KP
086450 KS,086450-KQ
078340 KS,078340-KQ
096770 KS,096770-KP
097950 KS,097950-KP
028670 KS,028670-KP
241590 KS,241590-KP
241560 KS,241560-KP
241710 KS,241710-KQ
051600 KS,051600-KP
216050 KS,216050-KQ
207940 KS,207940-KP
237880 KS,237880-KQ
145720 KS,145720-KP
265520 KS,265520-KQ
251270 KS,251270-KP
267270 KS,267270-KP
267250 KS,267250-KP
267260 KS,267260-KP
267980 KS,267980-KQ
042000 KS,042000-KQ
272290 KS,272290-KQ
091990 KS,091990-KQ
271560 KS,271560-KP
095610 KS,095610-KP
098460 KS,098460-KQ
011070 KS,011070-KP
034730 KS,034730-KP
103140 KS,103140-KP
104700 KS,104700-KP
082640 KS,082640-KP
105560 KS,105560-KP
105630 KS,105630-KP
086900 KS,086900-KQ
108670 KS,108670-KP
263750 KS,263750-KQ
214150 KS,214150-KQ
218410 KS,218410-KQ
280360 KS,280360-KP
253450 KS,253450-KQ
282330 KS,282330-KP
272450 KS,272450-KP
018250 KS,018250-KP
294870 KS,294870-KP
298000 KS,298000-KP
298020 KS,298020-KP
298050 KS,298050-KP
286940 KS,286940-KP
194700 KS,194700-KQ
063080 KS,063080-KQ
053580 KS,053580-KQ
278280 KS,278280-KQ
316140 KS,316140-KP
247540 KS,247540-KQ
307950 KS,307950-KP
319660 KS,319660-KQ
111770 KS,111770-KP
336370 KS,336370-KP
013890 KS,013890-KP
336260 KS,336260-KP
084850 KS,084850-KQ
272210 KS,272210-KP
353200 KS,353200-KP
326030 KS,326030-KP
293490 KS,293490-KQ
352820 KS,352820-KP
114090 KS,114090-KP
112040 KS,112040-KQ
120110 KS,120110-KP
088350 KS,088350-KP
